path,label,features,reduced_features
s3a://ds-p8/data/Beetroot/r_169_100.jpg,Beetroot,[0.22617163 0.         0.         ... 0.         0.38891107 0.04805721],"[ -2.0865176    5.849633     1.2205019   -0.41170543   0.5852406
   0.19913743  -0.26888713 -10.4538       1.0383288    1.6967584
  -0.18483014  -0.05454243   0.77464867  -0.12670839   0.9976376
  -0.06205233  -0.23509821  -0.5660388    0.35828435  -1.4084867
  -0.2890489   -0.3520204   -0.22480649  -0.277012     1.7658585
  -0.4549181    0.13793907  -0.16292404  -1.1818234   -0.20704012
   1.1954125    0.03464987   0.2810211   -0.06075105   1.1366053
   7.0805173   -0.11614957   0.5667101   -0.16709433  -0.40501702
  -0.1639155    0.07004425  -1.8380196    0.10964906  -0.2364165
  -0.2668878    0.07666522  -0.5962572   -0.26334524   0.04238211
  -0.44729027   0.2722154    0.03739852   0.2067707   -0.16161011
  -0.11409401   0.51628834   0.7628959    0.02295546  -0.31476662
  -0.09927566   0.13797946   0.0851469    2.6896708   -0.23210387
   0.2679682    0.14657867   0.19939674  -3.2967975    0.37545487
   0.0692232   -0.13458107  -0.13631457   0.21716812   4.537025
  -0.12643209  -0.08105945   0.07069726  -0.12055699  -0.20204815
  -0.1305403   -2.6464934    0.5676741    0.13227502   0.21482635
  -0.2080878   -0.14255463   0.03338099  -4.151719     0.34292752
  -0.18260233   0.10727046  -0.14750269   0.94297624   0.3119824
   0.07018911  -1.6597564   -0.03191022  -0.01230943  -0.09066563
  -0.35197937  -0.11739608   0.05776547  -0.14015876  -0.6384047
  -0.26888713   0.19913743   0.5852406   -0.41170543   1.2205019
  -1.6624286   -0.79548186   1.0383288    1.6967584    0.3846478
  -0.18483014  -0.05454243   0.77464867  -0.12670839   0.9976376
   0.460044    -0.06205233  -0.23509821  -0.5660388   -1.1969963
   0.35828435  -1.4084867   -0.2890489   -2.263386    -0.91147554
  -0.3520204   -0.22480649  -0.04283102  -0.277012    -0.4549181
   0.19150455   0.13793907  -0.16292404]"
s3a://ds-p8/data/Huckleberry/r_55_100.jpg,Huckleberry,[0.6926213  0.23981783 0.03728469 ... 0.11860768 1.1145018  1.6274781 ],"[-2.19466710e+00  1.06138277e+01 -1.04805894e-01 -8.73853862e-01
  8.35837841e-01  2.76535720e-01 -8.97899568e-02 -3.14173937e+00
  5.39963424e-01  2.47877494e-01  3.30185711e-01  3.06468487e-01
  2.95951009e-01 -3.18202615e-01  3.90469939e-01 -5.52419163e-02
  3.44167799e-01 -1.01516500e-01  4.27499443e-01 -5.10693312e-01
 -4.62236017e-01  1.25485808e-01  3.57740894e-02 -3.39308381e-01
 -2.02109009e-01 -2.88591683e-01  1.61161602e-01 -4.55323488e-01
 -9.14374471e-01  1.97012529e-01  8.55358839e-01 -2.58617580e-01
  3.41167659e-01  4.59538639e-01  5.88702559e-01  7.14626238e-02
 -4.11023170e-01  8.10299635e-01 -2.80226171e-02 -5.22003651e-01
  5.02341017e-02  2.07322836e-01  9.75441170e+00 -1.16185322e-01
  1.08513227e-02 -2.44551331e-01  2.93534109e-03 -1.27557302e+00
 -3.23213011e-01  9.38072950e-02 -5.17037153e-01  3.71646643e-01
  3.74714546e-02  2.06770703e-01 -1.61610112e-01 -1.14094011e-01
  5.16288340e-01  4.00026608e+00  2.29554642e-02 -3.14766616e-01
 -9.92756560e-02  1.37979463e-01  8.51468965e-02  7.20106542e-01
 -2.32103869e-01  2.67968208e-01  1.46578670e-01  1.99396744e-01
 -9.79788017e+00  3.75454873e-01  6.92232028e-02 -1.34581074e-01
 -1.36314571e-01  2.17168123e-01  4.88583803e+00 -1.26432091e-01
 -8.10594484e-02  7.06972629e-02 -1.20556988e-01 -2.02048153e-01
 -1.30540296e-01 -1.90003550e+00  5.67674100e-01  1.32275015e-01
  2.14826345e-01 -2.08087802e-01 -1.42554626e-01  3.33809927e-02
 -4.13507557e+00  3.42927516e-01 -1.82602331e-01  1.07270457e-01
 -1.47502691e-01 -2.77822852e+00  3.11982393e-01  7.01891109e-02
  1.19716191e+00 -3.19102220e-02 -1.23094274e-02 -9.06656310e-02
 -3.51979375e-01 -1.17396079e-01  5.77654690e-02 -1.58557519e-01
  1.31549382e+00 -8.97899568e-02  2.76535720e-01  8.35837841e-01
 -8.73853862e-01 -1.04805894e-01 -2.03655624e+00 -4.69381762e+00
  5.39963424e-01  2.47877494e-01  1.09455955e+00  3.30185711e-01
  3.06468487e-01  2.95951009e-01 -3.18202615e-01  3.90469939e-01
  3.08025455e+00 -5.52419163e-02  3.44167799e-01 -1.01516500e-01
  2.21488762e+00  4.27499443e-01 -5.10693312e-01 -4.62236017e-01
  4.95844245e-01 -5.92913437e+00  1.25485808e-01  3.57740894e-02
 -1.33335555e+00 -3.39308381e-01 -2.88591683e-01  2.71095848e+00
  1.61161602e-01 -4.55323488e-01]"
s3a://ds-p8/data/Pomelo/r2_74_100.jpg,Pomelo,[0.06563638 0.08787707 0.         ... 0.         0.14649293 0.01910804],"[ 7.6380434e+00  1.8880217e+00  6.5997690e-01 -1.6226077e+00
  1.0932733e+00 -5.3236574e-01 -5.1552701e-01 -9.2309618e+00
 -3.0071404e-02  1.3839382e+00  7.9837441e-03  2.7845004e-01
  1.0689767e-01 -4.6909994e-01  1.3429333e+00 -1.0650808e-01
 -3.8315776e-01 -6.4930576e-01  1.5326960e-01 -7.3665887e-01
 -7.8632993e-01  9.9079740e-01  2.3393477e-01 -1.4029577e-01
 -1.6043822e+00 -1.8500240e-01  1.0912179e-01  3.5588035e-01
 -5.9854549e-01 -4.0706754e-01  8.1321605e-02  2.9950777e-01
 -3.3098090e-01 -2.2062740e-01  5.4874957e-01 -1.5597098e-01
 -7.2109573e-02  1.3173062e-01 -4.5636839e-01 -3.9930817e-01
  3.8264054e-03  1.5362124e-01  3.5238907e-01  5.9116382e-02
 -2.2012888e-01 -3.6742294e-01 -2.0324560e-02  1.5377227e+00
 -2.0017858e-01  4.1374764e-03 -3.8305205e-01  3.4399411e-01
  3.7445333e-02  2.0677070e-01 -1.6161011e-01 -1.1409401e-01
  5.1628834e-01  5.0754285e-01  2.2955464e-02 -3.1476662e-01
 -9.9275656e-02  1.3797946e-01  8.5146897e-02  3.4391646e+00
 -2.3210387e-01  2.6796821e-01  1.4657867e-01  1.9939674e-01
 -5.8458009e+00  3.7545487e-01  6.9223203e-02 -1.3458107e-01
 -1.3631457e-01  2.1716812e-01  2.3211465e+00 -1.2643209e-01
 -8.1059448e-02  7.0697263e-02 -1.2055699e-01 -2.0204815e-01
 -1.3054030e-01 -3.9650345e+00  5.6767410e-01  1.3227502e-01
  2.1482635e-01 -2.0808780e-01 -1.4255463e-01  3.3380993e-02
 -2.7029035e+00  3.4292752e-01 -1.8260233e-01  1.0727046e-01
 -1.4750269e-01 -3.9252889e+00  3.1198239e-01  7.0189111e-02
 -2.9973321e+00 -3.1910222e-02 -1.2309427e-02 -9.0665631e-02
 -3.5197937e-01 -1.1739608e-01  5.7765469e-02 -1.4551245e-01
 -1.1305052e+00 -5.1552701e-01 -5.3236574e-01  1.0932733e+00
 -1.6226077e+00  6.5997690e-01 -1.2797334e+00  4.0369773e-01
 -3.0071404e-02  1.3839382e+00 -3.0911605e+00  7.9837441e-03
  2.7845004e-01  1.0689767e-01 -4.6909994e-01  1.3429333e+00
  4.4608101e-01 -1.0650808e-01 -3.8315776e-01 -6.4930576e-01
 -1.7522252e+00  1.5326960e-01 -7.3665887e-01 -7.8632993e-01
  3.3075374e-02 -2.4507506e+00  9.9079740e-01  2.3393477e-01
 -5.4729557e+00 -1.4029577e-01 -1.8500240e-01  2.1197073e+00
  1.0912179e-01  3.5588035e-01]"
s3a://ds-p8/data/Apricot/r_64_100.jpg,Apricot,[0.33645883 0.01118627 0.         ... 0.         0.6757492  0.01017723],"[ 6.8741393   1.3134228  -0.10912903 -0.6210822   0.01871288 -0.30457628
 -0.4974979  -4.8904185  -0.21954823  0.4022049   0.28900635 -0.6201828
 -0.42990166  0.2744397   0.68586653  0.834606   -0.7847283   0.76122266
  0.4930298  -0.07541907 -0.05151759 -0.2899481   0.24316585  0.24519849
  1.889043   -0.6770489  -0.95306903  0.05781874 -0.6958751   0.23738495
  1.0442892   0.09764967 -0.18267225  0.1592625   0.83101016  9.602185
 -0.23077366  0.41012764 -0.18354142 -0.4830204  -0.0460299   0.01533932
 -1.9583951   0.0890051  -0.26387593 -0.34613073 -0.02015964 -0.712483
 -0.26590145  0.06487787 -0.44629037  0.25435066  0.03737521  0.2067707
 -0.16161011 -0.11409401  0.51628834 -2.0856097   0.02295546 -0.31476662
 -0.09927566  0.13797946  0.0851469  -0.7769639  -0.23210387  0.2679682
  0.14657867  0.19939674 -7.472875    0.37545487  0.0692232  -0.13458107
 -0.13631457  0.21716812  4.7489467  -0.12643209 -0.08105945  0.07069726
 -0.12055699 -0.20204815 -0.1305403  -6.075623    0.5676741   0.13227502
  0.21482635 -0.2080878  -0.14255463  0.03338099 -1.8558042   0.34292752
 -0.18260233  0.10727046 -0.14750269 -3.7739222   0.3119824   0.07018911
 -3.1857028  -0.03191022 -0.01230943 -0.09066563 -0.35197937 -0.11739608
  0.05776547 -0.2818811  -0.37053588 -0.4974979  -0.30457628  0.01871288
 -0.6210822  -0.10912903 -0.27786258 -4.956827   -0.21954823  0.4022049
  1.2990648   0.28900635 -0.6201828  -0.42990166  0.2744397   0.68586653
 -2.790316    0.834606   -0.7847283   0.76122266 -4.3009586   0.4930298
 -0.07541907 -0.05151759 -0.8132835  -2.2722492  -0.2899481   0.24316585
 -3.7057557   0.24519849 -0.6770489  -0.06699085 -0.95306903  0.05781874]"
s3a://ds-p8/data/Maracuja/r_79_100.jpg,Maracuja,[0.3736537 0.        0.        ... 0.        0.1453717 0.       ],"[ 6.519118   -3.2897236   0.40872255 -0.6798198   1.6118441  -0.43519205
 -0.01774361 -6.012147    0.39670777  1.2083979   0.69558936 -0.78511125
  0.45806605  0.27244517  0.49118787 -0.04168673  0.07432307 -0.01377458
  0.1426693  -0.5186161  -0.2516987   0.09336995  0.2833102   0.07533128
 -0.03286935 -0.26151666  0.16152447 -0.09872452 -0.97163725  0.50035954
  0.34897563  0.34004635  0.2116702   0.44064397  1.0989566   2.1580179
  0.24060874  0.11663776 -0.17934033 -0.4865008  -0.3685526   0.2292312
  3.9139047   0.07116044 -0.19449523 -0.20574854  0.15655932 -0.0633532
 -0.20278187 -0.00740676 -0.46230307  0.30165544  0.03742141  0.2067707
 -0.16161011 -0.11409401  0.51628834 -1.7821332   0.02295546 -0.31476662
 -0.09927566  0.13797946  0.0851469   1.0263997  -0.23210387  0.2679682
  0.14657867  0.19939674 -4.6008673   0.37545487  0.0692232  -0.13458107
 -0.13631457  0.21716812  2.5920873  -0.12643209 -0.08105945  0.07069726
 -0.12055699 -0.20204815 -0.1305403  -0.77239144  0.5676741   0.13227502
  0.21482635 -0.2080878  -0.14255463  0.03338099 -1.5546052   0.34292752
 -0.18260233  0.10727046 -0.14750269 -1.5299978   0.3119824   0.07018911
 -2.40935    -0.03191022 -0.01230943 -0.09066563 -0.35197937 -0.11739608
  0.05776547  0.16208166 -2.0090518  -0.01774361 -0.43519205  1.6118441
 -0.6798198   0.40872255  0.51539326 -3.0213044   0.39670777  1.2083979
 -0.21361648  0.69558936 -0.78511125  0.45806605  0.27244517  0.49118787
 -1.1724616  -0.04168673  0.07432307 -0.01377458 -0.31851825  0.1426693
 -0.5186161  -0.2516987  -2.1740172  -1.1381502   0.09336995  0.2833102
 -3.3737946   0.07533128 -0.26151666  1.6175256   0.16152447 -0.09872452]"
s3a://ds-p8/data/Papaya/42_100.jpg,Papaya,[1.779485   0.         0.00429778 ... 0.         0.         0.        ],"[ 1.8171295e+00  2.0344350e+00  7.4861503e-01 -9.0650702e-01
  1.5785010e+00 -2.4829282e-01  2.5830597e-01 -9.7541313e+00
  1.8426995e-01  5.7736206e-01 -3.0864266e-01 -4.0722215e-01
  4.9446398e-01  1.5480115e-01  4.4350874e-01  1.7445382e-01
  3.5652360e-01 -2.0099564e-01  4.7481939e-01 -5.6836134e-01
  2.3130985e-01 -6.5219961e-02  1.7773989e-01 -9.5502660e-02
  3.3148777e+00 -6.2569134e-02  3.7401822e-01 -1.8583769e-02
 -1.2003282e+00 -2.4895777e-01  3.9901036e-01  2.4405713e-01
  8.3682105e-02  4.4229841e-01  1.0656422e+00  4.5917430e+00
 -5.8293968e-01  7.6882315e-01 -1.7895815e-01 -8.5452104e-01
 -4.7375828e-02 -8.0240116e-02 -1.1654674e+00  1.7695868e-01
 -2.1833421e-01 -4.7210523e-01  2.2051367e-03  4.9724374e+00
 -1.4763941e-01  6.4697959e-02 -3.9214468e-01  3.3185276e-01
  3.7497390e-02  2.0677070e-01 -1.6161011e-01 -1.1409401e-01
  5.1628834e-01  4.9229479e-01  2.2955464e-02 -3.1476662e-01
 -9.9275656e-02  1.3797946e-01  8.5146897e-02 -7.9985017e-01
 -2.3210387e-01  2.6796821e-01  1.4657867e-01  1.9939674e-01
 -8.5585289e+00  3.7545487e-01  6.9223203e-02 -1.3458107e-01
 -1.3631457e-01  2.1716812e-01  6.3542209e+00 -1.2643209e-01
 -8.1059448e-02  7.0697263e-02 -1.2055699e-01 -2.0204815e-01
 -1.3054030e-01 -5.6417413e+00  5.6767410e-01  1.3227502e-01
  2.1482635e-01 -2.0808780e-01 -1.4255463e-01  3.3380993e-02
 -3.3496139e+00  3.4292752e-01 -1.8260233e-01  1.0727046e-01
 -1.4750269e-01 -2.7348435e+00  3.1198239e-01  7.0189111e-02
 -1.1546259e+00 -3.1910222e-02 -1.2309427e-02 -9.0665631e-02
 -3.5197937e-01 -1.1739608e-01  5.7765469e-02  2.4260010e-01
 -1.4945105e+00  2.5830597e-01 -2.4829282e-01  1.5785010e+00
 -9.0650702e-01  7.4861503e-01  7.0538795e-01  3.6770257e-01
  1.8426995e-01  5.7736206e-01  2.4770741e+00 -3.0864266e-01
 -4.0722215e-01  4.9446398e-01  1.5480115e-01  4.4350874e-01
 -3.0886102e+00  1.7445382e-01  3.5652360e-01 -2.0099564e-01
 -5.4759139e-01  4.7481939e-01 -5.6836134e-01  2.3130985e-01
 -3.5896665e-01 -1.3364880e+00 -6.5219961e-02  1.7773989e-01
 -3.1743989e+00 -9.5502660e-02 -6.2569134e-02 -2.9179120e+00
  3.7401822e-01 -1.8583769e-02]"
s3a://ds-p8/data/Peach/r_326_100.jpg,Peach,[0.21812284 0.26516715 0.         ... 0.00227706 0.04410838 0.        ],"[ 5.19189930e+00 -8.67790759e-01 -2.13930488e-01 -1.05522418e+00
  4.42352593e-01  7.80921951e-02 -6.62737727e-01 -7.72363949e+00
  1.90176785e-01  3.66308004e-01 -2.75121536e-02 -3.00277799e-01
 -1.84196815e-01  4.47531492e-02  9.32025969e-01 -8.54656287e-03
  1.91707700e-01  1.64666206e-01  3.51518780e-01 -5.33685327e-01
 -1.67761028e-01  1.10310204e-01 -2.67345998e-02 -3.17486167e-01
 -1.46264419e-01  1.65581137e-01  1.17156491e-01 -9.55999255e-01
 -1.22168027e-01 -7.42932335e-02  7.12108791e-01  2.49969348e-01
  4.86173511e-01  4.13529813e-01  5.20912051e-01 -5.02101183e-01
 -2.42781565e-01  1.23634130e-01 -1.58889771e-01 -3.30911487e-01
 -1.55361161e-01  2.77421772e-01 -6.26739919e-01 -1.58521026e-01
 -4.50820386e-01 -4.21883523e-01 -2.47632507e-02 -9.58687842e-01
 -2.08277866e-01 -4.94579785e-02 -4.93852437e-01  1.98109344e-01
  3.73487994e-02  2.06770703e-01 -1.61610112e-01 -1.14094011e-01
  5.16288340e-01  9.78399158e-01  2.29554642e-02 -3.14766616e-01
 -9.92756560e-02  1.37979463e-01  8.51468965e-02 -7.94672549e-01
 -2.32103869e-01  2.67968208e-01  1.46578670e-01  1.99396744e-01
 -9.29720592e+00  3.75454873e-01  6.92232028e-02 -1.34581074e-01
 -1.36314571e-01  2.17168123e-01  7.89940691e+00 -1.26432091e-01
 -8.10594484e-02  7.06972629e-02 -1.20556988e-01 -2.02048153e-01
 -1.30540296e-01 -5.06581211e+00  5.67674100e-01  1.32275015e-01
  2.14826345e-01 -2.08087802e-01 -1.42554626e-01  3.33809927e-02
 -9.14833188e-01  3.42927516e-01 -1.82602331e-01  1.07270457e-01
 -1.47502691e-01 -2.59348822e+00  3.11982393e-01  7.01891109e-02
 -2.59277844e+00 -3.19102220e-02 -1.23094274e-02 -9.06656310e-02
 -3.51979375e-01 -1.17396079e-01  5.77654690e-02 -2.46913791e-01
  3.30035710e+00 -6.62737727e-01  7.80921951e-02  4.42352593e-01
 -1.05522418e+00 -2.13930488e-01 -1.16053224e+00 -1.15075207e+00
  1.90176785e-01  3.66308004e-01 -1.98289156e+00 -2.75121536e-02
 -3.00277799e-01 -1.84196815e-01  4.47531492e-02  9.32025969e-01
  6.16278708e-01 -8.54656287e-03  1.91707700e-01  1.64666206e-01
 -2.50630569e+00  3.51518780e-01 -5.33685327e-01 -1.67761028e-01
 -1.03721797e+00 -1.59127724e+00  1.10310204e-01 -2.67345998e-02
 -2.27026129e+00 -3.17486167e-01  1.65581137e-01 -4.47383076e-01
  1.17156491e-01 -9.55999255e-01]"
s3a://ds-p8/data/Chestnut/r_198_100.jpg,Chestnut,[0.24098675 0.         0.         ... 0.         0.45821458 0.12260018],"[ 0.10523459 11.392668    0.67884475 -0.7302006   1.323186    0.08754068
  0.7859761  -5.7270384   0.35646966 -0.42717224  1.1519696   0.7235415
  0.25411958  0.6737392   0.52446157  0.27010265  0.10768849 -0.08033977
  0.8587902  -0.1790411   0.09130489 -0.17889576  0.13760047  0.5350369
 -0.4151598   0.54659814  0.3276368  -0.5793513  -0.5862734   0.5084699
  0.5692314   0.07944307 -0.2067924   0.18061067  0.50835305  5.9018216
 -0.26681617  0.584863   -0.15697406 -0.3824406  -0.05385489  0.02980205
 -2.9760532   0.08949125 -0.18488227 -0.24917173  0.04607604  2.2284915
 -0.23074877  0.02900147 -0.38448268  0.2755596   0.03742316  0.2067707
 -0.16161011 -0.11409401  0.51628834  5.8263607   0.02295546 -0.31476662
 -0.09927566  0.13797946  0.0851469   2.1517873  -0.23210387  0.2679682
  0.14657867  0.19939674 -3.7823393   0.37545487  0.0692232  -0.13458107
 -0.13631457  0.21716812  1.7376134  -0.12643209 -0.08105945  0.07069726
 -0.12055699 -0.20204815 -0.1305403  -7.246178    0.5676741   0.13227502
  0.21482635 -0.2080878  -0.14255463  0.03338099 -2.5894413   0.34292752
 -0.18260233  0.10727046 -0.14750269 -0.08441198  0.3119824   0.07018911
 -0.7189861  -0.03191022 -0.01230943 -0.09066563 -0.35197937 -0.11739608
  0.05776547  0.02454603 -3.201601    0.7859761   0.08754068  1.323186
 -0.7302006   0.67884475 -2.0588696  -0.8378787   0.35646966 -0.42717224
 -2.6491117   1.1519696   0.7235415   0.25411958  0.6737392   0.52446157
 -1.6761204   0.27010265  0.10768849 -0.08033977 -2.0217156   0.8587902
 -0.1790411   0.09130489 -1.7001269  -3.808053   -0.17889576  0.13760047
 -2.7700853   0.5350369   0.54659814 -0.20439163  0.3276368  -0.5793513 ]"
s3a://ds-p8/data/Pear/r2_140_100.jpg,Pear,[0.         0.         0.         ... 0.         0.03002147 0.        ],"[ 5.213717    0.77225316  0.4250789  -0.8659181   1.2064532  -0.3395929
 -0.32564032 -3.9865372   0.0910478   0.8990299   0.08727618  0.8147288
  0.16122526 -0.3524027   0.20621064 -0.06885402 -0.32543597  0.5871417
  1.0765421  -0.55413204 -0.25336105  0.2071365   0.1520786  -0.39961419
  5.498469    0.42859375  0.14287016  0.09077128  0.30361763 -0.7021802
  0.6232861   0.27829456 -0.32558185  0.48141474 -0.02282892 10.633193
 -0.6889534  -0.55488014 -0.13218848 -0.41831842 -0.2969992   0.1717758
 -2.2963994   0.03813838 -0.25330403 -0.22008754  0.03402585 -3.224279
 -0.3504019   0.05333526 -0.3692227   0.32224464  0.03738462  0.2067707
 -0.16161011 -0.11409401  0.51628834 -0.91353154  0.02295546 -0.31476662
 -0.09927566  0.13797946  0.0851469   1.6133872  -0.23210387  0.2679682
  0.14657867  0.19939674 -2.2858496   0.37545487  0.0692232  -0.13458107
 -0.13631457  0.21716812  1.8677334  -0.12643209 -0.08105945  0.07069726
 -0.12055699 -0.20204815 -0.1305403   0.53339887  0.5676741   0.13227502
  0.21482635 -0.2080878  -0.14255463  0.03338099  0.81234944  0.34292752
 -0.18260233  0.10727046 -0.14750269  0.2919674   0.3119824   0.07018911
  1.5038804  -0.03191022 -0.01230943 -0.09066563 -0.35197937 -0.11739608
  0.05776547 -0.15850316 -0.22159678 -0.32564032 -0.3395929   1.2064532
 -0.8659181   0.4250789   1.7631211  -4.0884247   0.0910478   0.8990299
  2.986119    0.08727618  0.8147288   0.16122526 -0.3524027   0.20621064
 -0.15128912 -0.06885402 -0.32543597  0.5871417  -4.684106    1.0765421
 -0.55413204 -0.25336105 -0.6929793  -3.4840035   0.2071365   0.1520786
 -4.9069066  -0.39961419  0.42859375  2.193416    0.14287016  0.09077128]"
s3a://ds-p8/data/Raspberry/94_100.jpg,Raspberry,[0.06110043 0.40725076 0.         ... 0.         0.102594   0.01106143],"[-2.3510308e+00  1.9777482e+00 -6.9628403e-02 -3.1191412e-01
  4.3344945e-01  4.1955587e-01 -7.0647970e-02  9.4216132e-01
  4.2621455e-01  4.6232593e-01  6.1058348e-01  4.2958185e-01
  1.4828642e-01 -1.8444617e-01  2.2880700e-01  4.5031857e-01
  6.0874775e-02  4.3639436e-02  4.4821543e-01 -1.2328448e+00
  1.8569317e-01  9.0426311e-02  8.0323529e-01 -5.1184261e-01
  9.7204018e+00 -2.1879309e-01 -1.6397153e-01  5.2894108e-02
 -9.2082828e-01  1.7967454e-01  7.4695808e-01  1.0948108e-01
  4.6350294e-01  4.4549716e-01  7.6216429e-01  4.6367264e+00
 -4.8554087e-01  4.5435408e-01  7.7966817e-02 -5.1117647e-01
 -1.2336250e-01 -8.5033216e-03 -1.5115176e-01  5.4392640e-02
 -2.5965226e-01 -3.8062102e-01  4.0113498e-02 -2.0692794e+00
 -2.9498589e-01  5.3924333e-02 -2.7951160e-01  2.6022211e-01
  3.7412673e-02  2.0677070e-01 -1.6161011e-01 -1.1409401e-01
  5.1628834e-01  4.3773198e+00  2.2955464e-02 -3.1476662e-01
 -9.9275656e-02  1.3797946e-01  8.5146897e-02 -4.0446415e+00
 -2.3210387e-01  2.6796821e-01  1.4657867e-01  1.9939674e-01
 -8.1141939e+00  3.7545487e-01  6.9223203e-02 -1.3458107e-01
 -1.3631457e-01  2.1716812e-01  1.5444480e+00 -1.2643209e-01
 -8.1059448e-02  7.0697263e-02 -1.2055699e-01 -2.0204815e-01
 -1.3054030e-01  7.6821810e-01  5.6767410e-01  1.3227502e-01
  2.1482635e-01 -2.0808780e-01 -1.4255463e-01  3.3380993e-02
 -3.5722311e+00  3.4292752e-01 -1.8260233e-01  1.0727046e-01
 -1.4750269e-01 -5.4325647e+00  3.1198239e-01  7.0189111e-02
 -5.5065455e+00 -3.1910222e-02 -1.2309427e-02 -9.0665631e-02
 -3.5197937e-01 -1.1739608e-01  5.7765469e-02  3.0497044e-01
  8.1337452e-01 -7.0647970e-02  4.1955587e-01  4.3344945e-01
 -3.1191412e-01 -6.9628403e-02 -8.1437880e-01 -2.7817528e+00
  4.2621455e-01  4.6232593e-01  7.3939264e-01  6.1058348e-01
  4.2958185e-01  1.4828642e-01 -1.8444617e-01  2.2880700e-01
 -2.7662461e+00  4.5031857e-01  6.0874775e-02  4.3639436e-02
 -4.3046632e+00  4.4821543e-01 -1.2328448e+00  1.8569317e-01
  2.6924031e+00 -2.9513519e+00  9.0426311e-02  8.0323529e-01
 -3.3466582e+00 -5.1184261e-01 -2.1879309e-01  7.9883921e-01
 -1.6397153e-01  5.2894108e-02]"
